Date,Open,High,Low,Close,Volume
2020-01-01,766.68,772.96,757.96,765.73,24700105
2020-01-02,771.12,768.74,763.9,766.26,37402989
2020-01-03,786.69,803.01,793.88,794.7,43391768
2020-01-06,806.66,825.67,802.3,809.16,6622213
2020-01-07,814.43,817.22,813.48,813.63,13092792
2020-01-08,818.29,814.55,806.84,813.04,26261611
2020-01-09,802.11,809.01,797.21,806.57,25230363
2020-01-10,805.77,810.52,807.49,809.02,43933347
2020-01-13,822.25,824.36,813.91,816.88,18154397
2020-01-14,831.22,823.0,820.03,821.75,32416728
2020-01-15,822.15,817.19,811.12,815.2,20919628
2020-01-16,808.18,801.83,797.31,801.31,7773758
2020-01-17,828.86,832.89,822.94,827.08,31015141
2020-01-20,836.96,840.27,834.6,836.41,28454877
2020-01-21,849.89,849.67,838.39,841.88,26892365
2020-01-22,848.17,858.66,848.18,849.55,33687153
2020-01-23,861.51,870.94,865.02,865.88,11758656
2020-01-24,860.65,867.35,856.1,859.43,19363324
2020-01-27,856.41,872.73,857.82,857.96,32606252
2020-01-28,844.16,857.64,831.26,847.42,42812145
2020-01-29,851.35,852.25,837.23,847.74,34358524
2020-01-30,837.37,839.75,837.34,838.42,28754659
2020-01-31,825.26,830.52,810.62,824.5,23171523
2020-02-03,804.38,802.36,793.94,802.21,27239402
2020-02-04,817.94,834.56,819.84,825.22,41772109
2020-02-05,826.03,825.13,818.55,820.94,44130726
2020-02-06,837.67,830.65,820.84,828.14,35712444
2020-02-07,835.22,830.24,825.46,829.91,40682370
2020-02-10,822.3,840.65,826.86,837.34,7220039
2020-02-11,810.15,809.25,803.26,809.24,39627007
2020-02-12,795.72,805.06,796.53,803.18,7947887
2020-02-13,824.31,821.1,813.64,819.42,19971709
2020-02-14,851.96,848.91,835.91,846.89,36754704
2020-02-17,843.64,848.71,827.08,842.07,20128537
2020-02-18,827.83,840.78,836.76,838.92,6006271
2020-02-19,854.59,858.2,845.34,854.55,46967472
2020-02-20,856.55,880.37,854.74,861.38,14695790
2020-02-21,862.84,870.61,856.87,862.24,5961836
2020-02-24,861.67,862.49,851.61,861.73,12185922
2020-02-25,858.25,855.17,843.73,853.8,11800267
2020-02-26,844.77,849.13,838.04,845.44,46379701
2020-02-27,854.85,851.46,846.93,847.76,40526165
2020-02-28,854.45,857.92,851.4,852.75,49274726
2020-03-02,856.27,865.45,851.63,858.52,38939043
2020-03-03,848.58,854.08,843.03,848.95,18358863
2020-03-04,874.19,890.26,857.51,868.6,49608228
2020-03-05,851.1,847.76,841.56,845.1,27141874
2020-03-06,841.72,854.87,851.38,853.13,6887004
2020-03-09,840.67,847.43,845.18,845.72,20306957
2020-03-11,831.09,836.9,833.1,833.7,44976958
2020-03-12,835.34,829.64,815.89,829.51,5569926
2020-03-13,812.56,811.15,806.21,807.48,17777128
2020-03-16,816.83,820.79,810.68,812.75,44139739
2020-03-17,840.2,837.78,830.21,835.46,32290956
2020-03-18,833.81,827.87,818.56,826.73,15985876
2020-03-19,862.59,874.52,855.61,860.18,9351462
2020-03-23,852.64,862.46,833.6,848.02,39823549
2020-03-24,844.16,854.9,834.03,842.34,38100642
2020-03-25,866.79,865.86,861.23,862.24,47465139
2020-03-26,843.07,849.94,841.64,845.12,32257268
2020-03-27,838.64,853.37,839.74,842.29,20008601
2020-03-30,864.46,873.99,866.65,867.32,12601581
2020-03-31,849.21,855.88,845.76,850.38,28658118
2020-04-01,862.84,864.84,847.7,859.34,32881105
