Date,Open,High,Low,Close,Volume
2020-01-01,1388.63,1389.9,1362.55,1387.94,7023715
2020-01-02,1345.41,1351.23,1329.23,1338.17,34936432
2020-01-03,1340.36,1353.18,1349.04,1350.4,31464337
2020-01-06,1287.81,1300.76,1270.96,1292.44,44225903
2020-01-07,1274.69,1290.88,1270.49,1271.9,39754400
2020-01-08,1324.42,1326.03,1310.22,1321.58,14456485
2020-01-09,1339.57,1350.06,1340.61,1344.39,29823978
2020-01-10,1372.35,1376.2,1361.16,1365.82,13135632
2020-01-13,1340.66,1353.18,1329.7,1341.78,11883853
2020-01-14,1336.89,1345.55,1335.59,1338.17,16815453
2020-01-15,1364.61,1366.19,1356.63,1365.15,32167955
2020-01-16,1388.76,1384.45,1364.79,1379.53,47641159
2020-01-17,1412.67,1428.56,1393.97,1405.02,37723265
2020-01-20,1459.1,1471.92,1434.37,1445.49,14400292
2020-01-21,1465.21,1467.91,1456.24,1461.19,49139209
2020-01-22,1446.69,1433.78,1426.32,1432.86,32261011
2020-01-23,1448.72,1448.59,1444.49,1447.0,25970427
2020-01-24,1441.08,1443.33,1441.62,1441.99,33264823
2020-01-27,1409.55,1413.16,1410.77,1412.64,20140706
2020-01-28,1432.02,1435.14,1425.15,1433.28,32938287
2020-01-29,1460.34,1464.09,1458.17,1461.27,7036991
2020-01-30,1454.52,1464.91,1456.09,1459.52,18793865
2020-01-31,1463.11,1488.46,1466.06,1467.44,35484110
2020-02-03,1423.53,1439.45,1406.48,1419.22,29856675
2020-02-04,1441.63,1448.64,1436.34,1445.16,30950336
2020-02-05,1451.48,1469.73,1450.97,1463.93,22705436
2020-02-06,1457.36,1475.23,1454.31,1470.23,46109262
2020-02-07,1426.1,1456.36,1439.05,1441.21,29612819
2020-02-10,1393.78,1414.43,1394.14,1403.73,38923631
2020-02-11,1440.97,1450.19,1445.78,1449.67,7581108
2020-02-12,1419.97,1431.91,1411.77,1426.92,30160698
2020-02-13,1432.46,1434.23,1410.33,1430.41,11924151
2020-02-14,1399.71,1416.53,1405.11,1408.67,43833842
2020-02-17,1351.26,1366.42,1353.05,1357.5,36567327
2020-02-18,1355.11,1372.6,1361.4,1367.64,31175248
2020-02-19,1376.7,1386.63,1381.07,1381.26,25905833
2020-02-20,1349.67,1345.67,1326.91,1344.8,26817682
2020-02-21,1368.89,1388.38,1367.11,1369.05,30767770
2020-02-24,1358.48,1369.05,1349.05,1357.92,10586401
2020-02-25,1334.8,1337.67,1331.44,1334.81,28946222
2020-02-26,1302.27,1311.01,1309.72,1310.69,32289481
2020-02-27,1326.63,1334.83,1308.97,1329.35,32351806
2020-02-28,1290.25,1289.23,1286.9,1288.83,46555997
2020-03-02,1269.73,1267.27,1262.01,1263.6,6132628
2020-03-03,1275.02,1276.75,1270.73,1272.71,49910069
2020-03-04,1284.8,1281.23,1276.74,1279.17,16171361
2020-03-05,1251.8,1262.85,1257.28,1258.64,31362184
2020-03-06,1275.26,1288.31,1280.88,1284.92,34389233
2020-03-09,1251.36,1273.3,1250.4,1262.42,15516142
2020-03-11,1263.73,1259.58,1257.37,1258.59,32613012
2020-03-12,1243.09,1258.61,1239.8,1252.1,5694961
2020-03-13,1252.33,1248.59,1245.16,1245.72,9577277
2020-03-16,1239.44,1256.93,1236.2,1242.21,18016803
2020-03-17,1248.43,1251.49,1236.73,1238.1,9359742
2020-03-18,1231.0,1245.13,1224.42,1233.77,13002974
2020-03-19,1228.13,1235.17,1226.31,1230.55,24114753
2020-03-23,1252.71,1263.34,1234.25,1252.29,10938831
2020-03-24,1245.41,1252.35,1233.53,1248.0,28848320
2020-03-25,1264.84,1276.8,1256.72,1262.2,21127363
2020-03-26,1258.97,1267.4,1260.04,1265.58,46555758
2020-03-27,1274.56,1287.63,1272.26,1273.37,49082163
2020-03-30,1284.76,1300.54,1276.81,1289.6,11772160
2020-03-31,1265.16,1275.68,1248.72,1266.46,26762611
2020-04-01,1270.76,1285.57,1273.88,1279.56,46161006
2020-04-03,1281.16,1280.83,1271.4,1275.6,8043276
2020-04-07,1254.13,1273.12,1253.4,1256.37,48214129
2020-04-08,1278.17,1278.98,1267.99,1272.34,29771550
2020-04-09,1259.4,1271.33,1261.51,1264.06,44557587
2020-04-13,1272.01,1277.82,1268.7,1272.07,47137926
2020-04-15,1222.89,1222.36,1213.25,1217.25,43324199
2020-04-16,1224.51,1232.17,1221.27,1231.75,35922784
2020-04-17,1277.51,1286.3,1281.27,1283.17,31907035
2020-04-20,1288.6,1285.78,1281.46,1283.4,9732529
2020-04-21,1286.98,1289.87,1256.64,1278.37,37471851
2020-04-22,1269.42,1278.48,1265.34,1269.32,45120375
2020-04-23,1274.77,1283.95,1271.0,1280.98,35455507
2020-04-24,1273.1,1284.59,1271.49,1275.13,28002463
2020-04-27,1301.42,1293.5,1285.23,1288.73,31672456
2020-04-28,1315.8,1335.38,1316.8,1324.63,29439329
2020-04-29,1346.4,1344.89,1341.21,1342.85,19757133
2020-04-30,1340.34,1342.47,1333.52,1339.5,44239875
2020-05-01,1308.39,1328.32,1300.76,1316.0,28493244
2020-05-04,1305.75,1309.18,1306.5,1307.8,29132686
2020-05-05,1293.06,1315.24,1282.41,1304.83,31031760
2020-05-06,1279.53,1296.12,1271.86,1277.69,33066898
