Date,Open,High,Low,Close,Volume
2020-01-01,1059.9,1070.07,1055.72,1059.81,15304803
2020-01-02,1052.43,1071.74,1052.96,1057.59,25324696
2020-01-03,1077.33,1073.94,1065.65,1070.35,30211536
2020-01-06,1103.78,1106.32,1097.88,1100.12,49439681
2020-01-07,1092.89,1096.41,1094.82,1095.92,9528268
2020-01-08,1097.21,1096.62,1088.88,1091.74,23999710
2020-01-09,1120.42,1123.89,1122.44,1123.21,15052700
2020-01-10,1134.73,1144.09,1118.95,1139.18,34696625
2020-01-13,1125.72,1138.33,1127.93,1130.01,22264923
2020-01-14,1131.38,1143.04,1133.72,1141.49,21869307
2020-01-15,1135.1,1145.24,1130.84,1132.43,35590606
2020-01-16,1113.1,1124.39,1096.56,1123.39,39447582
2020-01-17,1121.8,1136.89,1125.41,1128.73,20090407
2020-01-20,1078.99,1096.73,1087.58,1090.31,20974862
2020-01-21,1056.44,1067.34,1049.1,1056.89,13924435
2020-01-22,1045.83,1055.76,1042.58,1046.62,46596585
2020-01-23,1026.28,1032.97,1024.51,1027.96,38338507
2020-01-24,1028.79,1043.22,1029.16,1034.18,31098020
2020-01-27,1011.73,1020.27,1000.95,1017.69,48992776
2020-01-28,994.53,1001.86,983.25,992.23,27295574
2020-01-29,1016.0,1019.96,1014.94,1018.8,30587567
2020-01-30,1016.68,1033.9,1007.55,1015.07,29001805
2020-01-31,1012.21,1019.91,1012.19,1016.71,31729306
2020-02-03,991.94,992.56,983.76,991.04,48573912
2020-02-04,988.13,984.16,978.45,981.73,40079500
2020-02-05,986.96,985.13,981.76,984.08,34780052
2020-02-06,962.1,965.27,956.56,964.09,19297708
2020-02-07,972.24,976.49,963.86,970.99,49107492
2020-02-10,959.72,968.23,951.3,960.88,34300601
2020-02-11,956.26,962.23,955.8,956.22,34140356
2020-02-12,944.71,956.33,940.88,946.25,12716492
2020-02-13,977.37,992.54,968.32,978.17,16472170
2020-02-14,979.37,982.31,976.63,978.33,26349746
2020-02-17,955.32,968.56,957.72,960.09,11158382
2020-02-18,969.74,991.48,955.77,974.69,32873254
2020-02-19,947.04,956.62,950.36,953.66,20049125
2020-02-20,949.97,976.73,947.08,957.63,40886559
2020-02-21,918.6,924.27,920.05,924.23,49568130
2020-02-24,903.23,908.56,895.14,902.51,37026685
2020-02-25,902.03,906.66,890.93,906.07,40480684
2020-02-26,920.83,919.2,906.82,918.47,7074278
2020-02-27,921.83,928.45,907.81,921.67,26761142
2020-02-28,911.06,922.26,906.35,920.12,15533873
2020-03-02,918.5,917.46,912.65,915.5,26111381
2020-03-03,895.12,893.8,885.32,891.51,48023741
2020-03-04,875.94,885.02,876.54,880.31,39832775
2020-03-05,875.19,880.29,854.94,873.36,36849424
2020-03-06,886.52,891.58,890.31,890.33,41586547
2020-03-09,896.63,901.61,893.84,896.19,5690778
2020-03-11,862.62,871.84,861.69,868.11,42598496
2020-03-12,865.69,879.8,866.43,873.52,30343981
2020-03-13,866.16,868.02,867.23,867.82,31919721
2020-03-16,857.06,857.65,851.24,857.59,28411915
2020-03-17,865.66,874.92,865.61,867.38,27736538
2020-03-18,878.59,887.18,877.49,883.82,11036207
2020-03-19,897.19,899.17,896.05,898.99,31395783
2020-03-23,886.96,891.56,878.71,885.77,18327766
2020-03-24,880.99,890.99,876.6,881.19,17344700
2020-03-25,887.61,890.76,880.71,886.8,13181311
2020-03-26,899.71,902.8,901.04,902.73,36959674
2020-03-27,900.55,904.7,895.03,895.3,6658332
2020-03-30,887.42,900.28,882.33,892.67,26228657
2020-03-31,877.38,877.39,873.15,875.25,35464527
2020-04-01,861.81,860.93,856.41,856.75,22548495
2020-04-03,871.72,870.93,851.4,869.63,35427511
2020-04-07,890.3,891.6,883.27,891.2,9074999
2020-04-08,888.05,894.17,879.97,890.4,39217863
2020-04-09,911.54,907.35,899.61,906.84,13966309
2020-04-13,906.61,916.66,911.06,913.11,37138789
2020-04-15,898.49,903.34,890.17,902.87,15193756
2020-04-16,907.3,923.48,906.4,909.11,18701736
2020-04-17,940.42,941.66,931.73,934.64,8892825
2020-04-20,936.18,935.49,934.01,934.41,27130590
2020-04-21,956.45,970.4,951.69,961.1,41425515
2020-04-22,914.74,920.56,908.12,916.16,13998331
2020-04-23,927.22,941.47,925.42,930.08,13671734
2020-04-24,928.6,941.0,922.07,931.91,28319440
2020-04-27,931.81,928.85,925.76,927.27,7644046
2020-04-28,922.8,940.25,923.22,929.17,17537769
2020-04-29,903.51,897.37,895.84,896.3,44958111
2020-04-30,896.82,895.53,884.28,893.12,44368536
2020-05-01,904.11,903.62,895.92,899.21,8763302
2020-05-04,921.36,925.73,923.18,923.5,6983438
2020-05-05,914.56,918.09,914.83,915.25,26971167
2020-05-06,895.83,903.53,896.18,902.3,21290309
2020-05-08,892.16,895.66,878.43,894.51,22160825
2020-05-11,911.85,909.62,905.19,909.6,40307745
2020-05-12,921.28,918.55,913.8,915.35,42036023
2020-05-13,901.97,915.63,898.28,906.99,44320824
2020-05-14,914.06,922.69,912.13,915.73,7803005
2020-05-15,917.01,928.6,903.92,917.7,48229393
2020-05-18,927.55,953.15,929.44,934.07,10256583
2020-05-19,925.37,929.54,917.95,922.64,18553496
2020-05-20,914.24,927.59,908.83,917.56,16434079
2020-05-21,910.56,913.09,906.9,911.45,41598653
2020-05-22,885.8,896.12,886.5,887.81,43652659
2020-05-26,889.37,905.76,888.57,892.89,16592789
2020-05-27,897.42,901.34,881.61,897.45,6661342
2020-05-28,896.92,903.34,891.45,897.89,21230378
2020-05-29,892.8,898.59,885.34,894.46,14208201
2020-06-01,868.85,890.11,867.48,872.03,33498615
2020-06-02,867.15,869.55,857.89,865.77,32639416
2020-06-03,867.9,863.48,859.39,860.78,43773339
2020-06-04,849.28,858.73,848.65,848.69,41471365
2020-06-05,850.79,847.81,842.51,846.57,46265043
2020-06-08,847.13,853.16,848.5,853.06,30034884
2020-06-09,883.07,886.46,877.19,882.37,20780630
2020-06-10,880.63,886.34,884.91,885.49,28050888
2020-06-11,883.38,896.88,886.69,889.95,10573945
2020-06-12,885.83,897.63,878.76,889.12,9886202
2020-06-15,863.88,859.85,853.92,858.76,25684213
2020-06-16,862.78,858.89,853.28,858.7,18900845
2020-06-17,861.01,866.39,859.39,859.97,28243967
2020-06-18,891.56,901.64,888.31,898.45,15315271
2020-06-19,894.81,902.03,892.75,895.69,22563002
2020-06-22,902.27,902.16,894.7,900.91,7427667
2020-06-23,901.5,913.04,890.6,900.71,10311154
2020-06-24,873.99,891.8,877.19,882.12,11557734
2020-06-25,896.61,912.25,897.43,900.62,19509348
2020-06-26,912.88,923.92,909.67,913.17,39118321
2020-06-29,929.02,928.09,924.34,926.54,5277834
2020-06-30,901.73,916.62,908.36,911.74,44139488
2020-07-01,934.37,942.91,933.65,935.13,9730654
2020-07-02,912.56,916.33,909.64,911.91,34697658
2020-07-03,925.83,935.38,909.37,921.91,25671541
2020-07-06,961.94,963.82,950.4,958.62,48681707
2020-07-07,944.66,945.6,940.48,941.92,16675889
2020-07-08,928.96,948.79,925.67,932.69,8998585
2020-07-09,925.82,939.27,927.02,934.74,41370544
2020-07-10,924.82,932.14,923.69,926.64,11900725
2020-07-13,905.66,903.31,888.11,901.15,38495357
2020-07-14,908.91,912.02,901.05,902.62,6732141
2020-07-15,888.87,896.78,879.71,885.72,34449015
2020-07-16,895.55,893.86,888.97,893.63,21072326
2020-07-17,880.86,884.49,871.53,879.19,31001368
2020-07-20,901.56,907.4,898.39,904.07,15627772
2020-07-21,891.11,896.52,889.05,891.69,47229669
2020-07-22,894.28,901.17,876.91,886.88,20197601
2020-07-23,895.98,901.2,900.11,900.22,20487103
2020-07-24,887.74,883.2,874.27,880.63,40188893
2020-07-27,883.17,885.9,878.17,884.59,15403209
2020-07-28,911.76,915.52,894.75,905.76,15205026
2020-07-29,873.72,886.75,876.31,879.91,41442001
2020-07-30,885.78,891.67,875.91,883.19,40301420
2020-07-31,884.4,892.33,883.0,887.67,34510763
2020-08-03,894.15,908.06,894.36,900.52,39574778
2020-08-04,881.79,884.61,873.14,880.83,44078064
2020-08-05,864.59,868.41,854.12,860.25,8119331
2020-08-06,865.0,873.67,867.48,868.67,37442046
2020-08-07,867.11,880.62,869.79,873.66,12301078
2020-08-10,877.55,883.27,869.69,877.95,9003487
2020-08-11,883.39,893.83,877.45,883.78,34612901
2020-08-12,875.71,883.81,869.15,873.32,5834938
2020-08-13,881.49,879.58,870.66,877.32,5807400
2020-08-14,882.03,884.06,879.02,882.29,45059566
2020-08-17,879.38,880.56,861.77,871.3,16955489
2020-08-18,901.92,904.92,894.8,900.91,21184291
2020-08-19,907.39,912.28,900.0,908.96,11472036
2020-08-20,882.66,905.24,885.9,889.83,38025767
2020-08-24,899.52,905.34,896.19,900.7,42921639
2020-08-25,883.77,891.83,880.33,885.26,13043732
2020-08-26,902.47,898.57,893.98,898.16,42851687
2020-08-27,919.37,919.22,915.34,917.25,25926786
2020-08-28,898.73,915.11,900.16,904.06,6779892
2020-08-31,920.89,923.84,912.68,920.1,48151442
2020-09-01,930.42,931.3,912.75,927.31,12252270
2020-09-02,948.59,949.48,938.77,941.4,36527173
2020-09-03,978.24,976.76,961.73,973.92,17931855
2020-09-04,973.69,976.51,969.26,970.0,34873351
2020-09-07,957.52,965.23,955.21,957.23,17369135
2020-09-08,944.12,957.11,937.17,942.29,39474675
2020-09-09,934.63,944.11,926.59,928.83,41975535
2020-09-10,921.73,936.1,925.46,927.91,41956842
2020-09-11,932.35,935.63,928.51,933.98,15724646
2020-09-14,935.37,941.08,936.48,939.0,36892991
2020-09-15,955.17,955.7,950.95,953.36,48133323
2020-09-16,959.84,960.2,950.39,953.97,19165740
2020-09-17,976.39,986.05,967.28,979.31,13809609
2020-09-18,963.38,979.58,969.13,975.03,17284742
2020-09-21,1021.05,1024.53,1018.15,1023.16,24612525
2020-09-22,1039.83,1037.44,1026.68,1035.1,21468790
2020-09-23,1022.28,1021.57,1017.55,1019.54,31635028
2020-09-24,1002.43,1013.15,999.98,1000.29,29199460
2020-09-25,1007.97,1013.34,1008.29,1009.38,7958963
2020-09-28,999.3,1011.64,1003.04,1005.73,26819702
2020-09-29,1021.68,1024.45,1007.38,1019.05,48868696
2020-09-30,1023.85,1037.79,1019.24,1028.14,24756934
2020-10-01,1038.43,1028.7,1016.43,1027.21,18011582
2020-10-05,1014.85,1022.46,1006.92,1011.96,42322985
2020-10-06,981.91,987.92,974.3,984.77,47232412
2020-10-07,974.26,982.34,974.23,977.25,13325344
2020-10-08,992.25,996.91,984.05,992.71,29494969
2020-10-09,995.74,1001.61,980.88,996.93,47817546
2020-10-12,980.41,984.63,966.99,974.97,25254024
2020-10-13,979.31,978.57,976.45,978.4,33523531
2020-10-14,981.97,988.02,977.34,985.58,14232418
