Date,Open,High,Low,Close,Volume
2020-01-01,3236.89,3245.97,3215.54,3240.7,43994051
2020-01-02,3246.3,3260.99,3216.39,3250.34,27806266
2020-01-03,3201.96,3203.21,3175.63,3192.32,12405106
2020-01-06,3268.01,3253.91,3239.35,3251.44,37729728
2020-01-07,3205.96,3208.6,3149.43,3186.97,20153543
2020-01-08,3217.92,3230.64,3204.7,3227.81,20935736
2020-01-09,3310.86,3313.45,3262.83,3295.65,16423333
2020-01-10,3279.09,3277.03,3223.12,3245.26,36088464
2020-01-13,3242.37,3250.46,3209.29,3240.33,17065470
2020-01-14,3230.01,3261.56,3179.78,3231.19,44230880
2020-01-15,3219.56,3233.83,3217.17,3224.1,36480974
2020-01-16,3289.76,3319.66,3299.52,3307.35,48275500
2020-01-17,3271.05,3278.28,3252.59,3257.33,18549854
2020-01-20,3242.88,3245.91,3227.53,3244.0,10798164
2020-01-21,3310.44,3380.43,3287.58,3312.92,46525697
2020-01-22,3309.95,3351.75,3287.21,3298.61,9893864
2020-01-23,3268.74,3264.21,3232.63,3256.05,49968591
2020-01-24,3258.87,3280.5,3246.12,3268.69,10936311
2020-01-27,3296.67,3331.5,3291.27,3306.21,29868785
2020-01-28,3278.47,3289.47,3284.9,3288.69,41757460
2020-01-29,3349.9,3317.64,3273.42,3314.87,26033435
2020-01-30,3275.67,3279.69,3232.79,3251.65,14576700
2020-01-31,3203.44,3194.49,3183.22,3192.16,7082003
2020-02-03,3167.17,3190.72,3153.55,3173.13,30232359
2020-02-04,3195.87,3208.54,3174.0,3199.98,17062384
2020-02-05,3240.61,3240.67,3210.78,3234.73,14277755
2020-02-06,3217.0,3210.5,3175.44,3181.85,15349107
2020-02-07,3219.4,3221.15,3186.56,3214.76,14917877
2020-02-10,3231.09,3228.84,3215.8,3222.89,25866470
2020-02-11,3143.29,3185.71,3153.05,3183.87,6179568
2020-02-12,3129.06,3133.3,3115.26,3125.04,10679226
2020-02-13,3113.87,3148.93,3134.92,3135.72,47117993
2020-02-14,3185.18,3201.06,3192.56,3192.95,10829567
2020-02-17,3195.93,3198.25,3185.86,3195.18,41096213
2020-02-18,3149.24,3157.24,3145.59,3154.0,8470150
2020-02-19,3062.37,3072.94,3068.51,3072.14,40240582
2020-02-20,3128.7,3193.18,3136.3,3138.54,12238599
2020-02-21,3181.59,3213.24,3169.0,3184.95,13030013
2020-02-24,3194.99,3206.62,3171.72,3199.06,44465751
2020-02-25,3266.22,3286.8,3255.8,3265.89,11287399
2020-02-26,3275.89,3284.44,3249.62,3276.78,14313007
2020-02-27,3273.88,3295.13,3236.19,3253.08,46283765
2020-02-28,3245.41,3293.78,3256.04,3279.01,32180725
2020-03-02,3245.54,3245.87,3239.45,3241.57,17680724
2020-03-03,3198.18,3202.7,3196.65,3197.04,25517295
2020-03-04,3230.04,3241.72,3178.97,3232.21,27294487
2020-03-05,3260.03,3283.01,3249.5,3271.58,22927891
2020-03-06,3211.49,3218.45,3192.21,3213.9,12844286
2020-03-09,3133.09,3169.36,3139.11,3158.89,13126991
2020-03-11,3143.09,3172.86,3135.82,3139.84,19948057
2020-03-12,3115.23,3126.27,3087.84,3109.2,18596252
2020-03-13,3119.55,3155.05,3124.79,3130.57,8370116
2020-03-16,3163.7,3147.97,3123.43,3133.3,14225354
2020-03-17,3183.1,3206.77,3174.31,3185.02,34639502
2020-03-18,3200.52,3217.75,3170.64,3199.81,9024389
2020-03-19,3192.75,3214.99,3168.86,3171.57,24209007
2020-03-23,3121.32,3099.08,3049.29,3088.24,41015118
2020-03-24,3079.22,3125.45,3078.07,3096.61,32217107
2020-03-25,3014.37,3031.75,3020.83,3023.09,19247713
2020-03-26,2994.35,3014.14,2949.61,2995.89,19945531
